articleId,articleName,articleCode,cube,weightLbs,roomId,roomName,isActive,domestic,canada,international,local,carton,pbo,mattcp,bulky,crateFlag
867,4 Wheel Dollies,V002,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
869,A Frame Dollies,V004,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
870,Air Conditioner,V005,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
874,Armoire,V010,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
876,Baker's Rack,V012,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
877,Bankers Box,V013,4.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
878,"Bar, Portable",V014,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
879,"Bar, Stool",V015,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
880,Barbells lbs.,V016,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
881,Basinette,V017,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
884,"BBQ Grill, Large",V020,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
885,"BBQ Grill, Small",V021,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
886,"Bed, Bunk (Set 2)",V022,70.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
887,"Bed, Footboard",V023,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
888,"Bed, Full/Dbl.",V024,60.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
889,"Bed, Headboard",V025,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
890,"Bed, King",V026,70.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
891,"Bed, Metal Frame",V027,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
892,"Bed, Queen",V028,65.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
893,"Bed, Rollaway",V029,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
894,"Bed, Single",V030,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
895,"Bed, Waterbed Base",V031,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
896,"Bed, Youth",V032,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
898,"Bench, Harvest",V034,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
899,"Bench, Vanity",V035,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
900,Bicycle,V036,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
901,Birdbath,V037,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
905,Book Carts,V041,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
906,Bookcase,V042,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
907,"Bookshelf, Large",V043,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
908,"Bookshelf, Small",V044,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
909,Bowling Bag / Ball,V045,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
910,Buffet,V046,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
911,"Cabinet, China",V048,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
912,"Cabinet, Corner",V049,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
913,"Cabinet, Curio",V051,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
914,"Cabinet, Filing 2D",V052,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
915,"Cabinet, Filing 4D",V053,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
916,"Cabinet, Kitchen",V054,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
917,"Cabinet, Metal",V055,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
918,"Cabinet, Utility",V057,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
924,CD Rack,V063,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
925,"Chair, Aluminum",V064,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
926,"Chair, Arm",V065,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
927,"Chair, Boudoir",V066,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
928,"Chair, Child's",V067,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
929,"Chair, Dining",V068,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
930,"Chair, Folding",V069,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
931,"Chair, High",V070,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
932,"Chair, Kitchenette",V071,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
933,"Chair, Lounge",V072,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
934,"Chair, Metal",V073,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
935,"Chair, Occasional",V074,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
936,"Chair, Overstuffed",V076,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
937,"Chair, Plastic",V077,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
938,"Chair, Rocker",V078,12.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
939,"Chair, Straight",V079,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
940,"Chair, Wood",V081,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
941,Chair/Card Table Fold.,V082,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
942,Chairs,V083,6.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
943,"Chaise, Aluminum",V084,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
944,"Chaise, Metal",V085,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
945,"Chaise, Plastic",V086,8.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
946,"Chaise, Wood",V087,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
947,Chest,V088,18.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
948,"Chest, Bachelor",V089,12.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
949,"Chest, Cedar",V090,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
950,"Coat Rack, Large",V091,12.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
951,"Coat Rack, Small",V092,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
952,Computer/Printer,V094,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
953,Conf. Table,V095,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
954,Cooler,V096,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
