tableName,id,name
GENDER,234,Male
GENDER,235,Unknown
Address Type LOV,236,Extra Delivery 1
Address Type LOV,237,Extra Delivery 2
Address Type LOV,238,Extra Delivery 3
Address Type LOV,239,Extra Delivery 4
Address Type LOV,240,Extra Delivery 5
Address Type LOV,241,Extra Pickup 1
Address Type LOV,242,Extra Pickup 2
Address Type LOV,243,Extra Pickup 3
Address Type LOV,244,Extra Pickup 4
Address Type LOV,245,Extra Pickup 5
Address Type LOV,246,Main Destination
Address Type LOV,247,Main Origin
Address Type LOV,248,Perm Dlv
Address Type LOV,249,Perm PU
Address Type LOV,250,Self Stg Dlv
Address Type LOV,251,Self Stg PU
Address Type LOV,252,SIT at Destination
Address Type LOV,253,SIT at Origin
Address Type LOV,254,Extra Pickup 6
COUNTRY,255,Afghanistan
COUNTRY,256,Albania
COUNTRY,257,Algeria
COUNTRY,258,American Samoa
COUNTRY,259,Andorra
COUNTRY,260,Angola
COUNTRY,261,Anguilla
COUNTRY,262,Antarctica
COUNTRY,263,Antigua and Barbuda
COUNTRY,264,Argentina
COUNTRY,265,Armenia
COUNTRY,266,Aruba
COUNTRY,267,Australia
COUNTRY,268,Austria
COUNTRY,269,Azerbaijan
COUNTRY,270,Bahamas
COUNTRY,271,Bahrain
COUNTRY,272,Bangladesh
COUNTRY,273,Barbados
COUNTRY,274,Belarus
COUNTRY,275,Belgium
COUNTRY,276,Belize
COUNTRY,277,Benin
COUNTRY,278,Bermuda
COUNTRY,279,Bhutan
COUNTRY,280,Bolivia
COUNTRY,281,Bosnia and Herzegovina
COUNTRY,282,Botswana
COUNTRY,283,Bouvet Island
COUNTRY,284,Brazil
COUNTRY,285,British Indian Ocean Territory
COUNTRY,286,British Virgin Islands
COUNTRY,287,Brunei Darussalam
COUNTRY,288,Bulgaria
COUNTRY,289,Burkina Faso
COUNTRY,290,Burundi
COUNTRY,291,CA
COUNTRY,292,Cambodia
COUNTRY,293,Cameroon
COUNTRY,294,Cape Verde
COUNTRY,295,Cayman Islands
COUNTRY,296,Central African Republic
COUNTRY,297,Chad
COUNTRY,298,Chile
COUNTRY,299,China
COUNTRY,300,Christmas Island
COUNTRY,301,Cocos
COUNTRY,302,Colombia
COUNTRY,303,Comoros
COUNTRY,304,Congo
COUNTRY,305,Cook Islands
COUNTRY,306,Costa Rica
COUNTRY,307,Croatia
COUNTRY,308,Cuba
COUNTRY,309,Cyprus
COUNTRY,310,Czech Republic
COUNTRY,311,Democratic Republic of the Congo
COUNTRY,312,Denmark
COUNTRY,313,Djibouti
COUNTRY,314,Dominica
COUNTRY,315,Dominican Republic
COUNTRY,316,East Timor
COUNTRY,317,Ecuador
COUNTRY,318,Egypt
COUNTRY,319,El Salvador
COUNTRY,320,Equatorial Guinea
COUNTRY,321,Eritrea
COUNTRY,322,Estonia
COUNTRY,323,Ethiopia
COUNTRY,324,Falkland Islands
COUNTRY,325,Faroe Islands
COUNTRY,326,Fiji
COUNTRY,327,Finland
COUNTRY,328,France
COUNTRY,329,"France, Metropolitan"
COUNTRY,330,French Guiana
COUNTRY,331,French Polynesia
COUNTRY,332,French Southern Territories
COUNTRY,333,Gabon
COUNTRY,334,Gambia
COUNTRY,335,Georgia
COUNTRY,336,Germany
COUNTRY,337,Ghana
COUNTRY,338,Gibraltar
COUNTRY,339,Greece
COUNTRY,340,Greenland
COUNTRY,341,Grenada
COUNTRY,342,Guadeloupe
COUNTRY,343,Guam
COUNTRY,344,Guatemala
COUNTRY,345,Guernsey
COUNTRY,346,Guinea
COUNTRY,347,Guinea-Bissau
COUNTRY,348,Guyana
COUNTRY,349,Haiti
COUNTRY,350,Heard and McDonald Islands
COUNTRY,351,Honduras
COUNTRY,352,Hong Kong
COUNTRY,353,Hungary
COUNTRY,354,Iceland
COUNTRY,355,India
COUNTRY,356,Indonesia
COUNTRY,357,Iran
COUNTRY,358,Iraq
COUNTRY,359,Ireland
COUNTRY,360,Israel
COUNTRY,361,Italy
COUNTRY,362,Ivory Coast
COUNTRY,363,Jamaica
COUNTRY,364,Japan
COUNTRY,365,Jersey
COUNTRY,366,Jordan
COUNTRY,367,Kazakhstan
COUNTRY,368,Kenya
COUNTRY,369,Kiribati
COUNTRY,370,Kosovo
COUNTRY,371,Kuwait
COUNTRY,372,Kyrgyzstan
COUNTRY,373,Laos
COUNTRY,374,Latvia
COUNTRY,375,Lebanon
COUNTRY,376,Lesotho
COUNTRY,377,Liberia
COUNTRY,378,Libya
COUNTRY,379,Liechtenstein
COUNTRY,380,Lithuania
COUNTRY,381,Luxembourg
COUNTRY,382,Macau
COUNTRY,383,Macedonia
COUNTRY,384,Madagascar
COUNTRY,385,Malawi
COUNTRY,386,Malaysia
COUNTRY,387,Maldives
COUNTRY,388,Mali
COUNTRY,389,Malta
COUNTRY,390,Man (Isle of)
COUNTRY,391,Marshall Islands
COUNTRY,392,Martinique
COUNTRY,393,Mauritania
COUNTRY,394,Mauritius
COUNTRY,395,Mayotte
COUNTRY,396,Mexico
COUNTRY,397,Micronesia
COUNTRY,398,Moldova
COUNTRY,399,Monaco
COUNTRY,400,Mongolia
COUNTRY,401,Montserrat
COUNTRY,402,Morocco
COUNTRY,403,Mozambique
COUNTRY,404,Myanmar
COUNTRY,405,Namibia
COUNTRY,406,Nauru
COUNTRY,407,Nepal
COUNTRY,408,Netherlands
COUNTRY,409,Netherlands Antilles
COUNTRY,410,New Caledonia
COUNTRY,411,New Zealand
COUNTRY,412,Nicaragua
COUNTRY,413,Niger
COUNTRY,414,Nigeria
COUNTRY,415,Niue
COUNTRY,416,Norfolk Island
COUNTRY,417,North Korea
COUNTRY,418,Northern Mariana Islands
COUNTRY,419,Norway
COUNTRY,420,Oman
COUNTRY,421,Pakistan
COUNTRY,422,Palau
COUNTRY,423,Panama
COUNTRY,424,Papua New Guinea
COUNTRY,425,Paraguay
COUNTRY,426,Peru
COUNTRY,427,Philippines
COUNTRY,428,Pitcairn
COUNTRY,429,Poland
COUNTRY,430,Portugal
COUNTRY,431,Puerto Rico
COUNTRY,432,Qatar
COUNTRY,433,Reunion
COUNTRY,434,Romania
COUNTRY,435,Russia
COUNTRY,436,Russian Federation
COUNTRY,437,Rwanda
COUNTRY,438,S. Georgia and S. Sandwich Islands
COUNTRY,439,Saint Kitts and Nevis
COUNTRY,440,Saint Lucia
COUNTRY,441,Saint Vincent and the Grenadin
COUNTRY,442,Samoa
COUNTRY,443,San Marino
COUNTRY,444,Sao Tome and Principe
COUNTRY,445,Saudi Arabia
COUNTRY,446,Senegal
COUNTRY,447,Serbia
COUNTRY,448,Seychelles
COUNTRY,449,Sierra Leone
COUNTRY,450,Singapore
COUNTRY,451,Slovakia
COUNTRY,452,Slovenia
COUNTRY,453,Solomon Islands
COUNTRY,454,Somalia
COUNTRY,455,South Africa
COUNTRY,456,South Korea
COUNTRY,457,Spain
COUNTRY,458,Sri Lanka
COUNTRY,459,St. Helena
COUNTRY,460,St. Pierre and Miquelon
COUNTRY,461,Sudan
COUNTRY,462,Suriname
COUNTRY,463,Svalbard and Jan Mayen Islands
COUNTRY,464,Swaziland
COUNTRY,465,Sweden
COUNTRY,466,Switzerland
COUNTRY,467,Syria
COUNTRY,468,Taiwan
COUNTRY,469,Tajikistan
COUNTRY,470,Tanzania
COUNTRY,471,Thailand
COUNTRY,472,Togo
COUNTRY,473,Tokelau
COUNTRY,474,Tonga
COUNTRY,475,Trinidad and Tobago
COUNTRY,476,Tunisia
COUNTRY,477,Turkey
COUNTRY,478,Turkmenistan
COUNTRY,479,Turks and Caicos Islands
COUNTRY,480,Tuvalu
COUNTRY,481,Uganda
COUNTRY,482,Ukraine
COUNTRY,483,United Arab Emirates
COUNTRY,484,United Kingdom
COUNTRY,485,Uruguay
COUNTRY,486,US
COUNTRY,487,US Minor Outlying Islands
COUNTRY,488,Virgin Islands
COUNTRY,489,Uzbekistan
COUNTRY,490,Vanuatu
COUNTRY,491,Vatican City State
COUNTRY,492,Venezuela
COUNTRY,493,Viet Nam
COUNTRY,494,Wallis and Futuna Islands
COUNTRY,495,Western Sahara
COUNTRY,496,Yemen
COUNTRY,497,Yugoslavia
COUNTRY,498,Zambia
COUNTRY,499,Zimbabwe
COUNTRY_CODE,500,Albania
COUNTRY_CODE,501,Argentina
COUNTRY_CODE,502,Australia
COUNTRY_CODE,503,Austria
COUNTRY_CODE,504,Belgium
COUNTRY_CODE,505,Brazil
COUNTRY_CODE,506,Canada
COUNTRY_CODE,507,Chile
COUNTRY_CODE,508,China
COUNTRY_CODE,509,Colombia
COUNTRY_CODE,510,Czech Republic
COUNTRY_CODE,511,Denmark
COUNTRY_CODE,512,Finland
COUNTRY_CODE,513,France
COUNTRY_CODE,514,Germany
COUNTRY_CODE,515,Ghana
COUNTRY_CODE,516,Gibraltar
COUNTRY_CODE,517,Greece
COUNTRY_CODE,518,Greenland
COUNTRY_CODE,519,Grenada
COUNTRY_CODE,520,Guadeloupe
COUNTRY_CODE,521,Guam
COUNTRY_CODE,522,Guatemala
COUNTRY_CODE,523,Guinea
COUNTRY_CODE,524,Guinea-bissau
COUNTRY_CODE,525,Guyana
COUNTRY_CODE,526,Haiti
COUNTRY_CODE,527,Heard and Mc Donald Islands
COUNTRY_CODE,528,Holy See (Vatican City State)
COUNTRY_CODE,529,Honduras
COUNTRY_CODE,530,Hong Kong
COUNTRY_CODE,531,Hungary
COUNTRY_CODE,532,Iceland
COUNTRY_CODE,533,Ireland
COUNTRY_CODE,534,Israel
COUNTRY_CODE,535,Italy
COUNTRY_CODE,536,Japan
COUNTRY_CODE,537,Korea
COUNTRY_CODE,538,Lithuania
COUNTRY_CODE,539,Luxembourg
COUNTRY_CODE,540,Mexico
COUNTRY_CODE,541,Netherlands
COUNTRY_CODE,542,New Zealand
COUNTRY_CODE,543,Norway
COUNTRY_CODE,544,Philippines
COUNTRY_CODE,545,Portugal
COUNTRY_CODE,546,Romania
COUNTRY_CODE,547,Singapore
COUNTRY_CODE,548,South Africa
COUNTRY_CODE,549,South Georgia and the South Sandwich Islands
COUNTRY_CODE,550,Spain
COUNTRY_CODE,551,Sweden
COUNTRY_CODE,552,Switzerland
COUNTRY_CODE,553,Taiwan
COUNTRY_CODE,554,Turkey
COUNTRY_CODE,555,United Kingdom
COUNTRY_CODE,556,Uruguay
COUNTRY_CODE,557,United States
Sirva Canadian State Picklist,558,AB
Sirva Canadian State Picklist,559,BC
Sirva Canadian State Picklist,560,MB
Sirva Canadian State Picklist,561,NB
Sirva Canadian State Picklist,562,NL
Sirva Canadian State Picklist,563,NS
Sirva Canadian State Picklist,564,NT
Sirva Canadian State Picklist,565,NU
Sirva Canadian State Picklist,566,ON
Sirva Canadian State Picklist,567,PE
Sirva Canadian State Picklist,568,QC
Sirva Canadian State Picklist,569,SK
Sirva Canadian State Picklist,570,YT
STATE_ABBREV,571,AA
STATE_ABBREV,572,AB
STATE_ABBREV,573,AE
STATE_ABBREV,574,AK
STATE_ABBREV,575,AL
STATE_ABBREV,576,AP
STATE_ABBREV,577,AR
STATE_ABBREV,578,AS
STATE_ABBREV,579,AZ
STATE_ABBREV,580,BC
STATE_ABBREV,581,CA
STATE_ABBREV,582,CO
STATE_ABBREV,583,CT
STATE_ABBREV,584,DC
STATE_ABBREV,585,DE
STATE_ABBREV,586,FL
STATE_ABBREV,587,FM
STATE_ABBREV,588,GA
STATE_ABBREV,589,GU
STATE_ABBREV,590,HI
STATE_ABBREV,591,IA
STATE_ABBREV,592,ID
STATE_ABBREV,593,IL
STATE_ABBREV,594,IN
STATE_ABBREV,595,KS
STATE_ABBREV,596,KY
STATE_ABBREV,597,LA
STATE_ABBREV,598,MA
STATE_ABBREV,599,MB
STATE_ABBREV,600,MD
STATE_ABBREV,601,ME
STATE_ABBREV,602,MH
STATE_ABBREV,603,MI
STATE_ABBREV,604,MN
STATE_ABBREV,605,MO
STATE_ABBREV,606,MP
STATE_ABBREV,607,MS
STATE_ABBREV,608,MT
STATE_ABBREV,609,National
STATE_ABBREV,610,NB
STATE_ABBREV,611,NC
STATE_ABBREV,612,ND
STATE_ABBREV,613,NE
STATE_ABBREV,614,NH
STATE_ABBREV,615,NJ
STATE_ABBREV,616,NL
STATE_ABBREV,617,NM
STATE_ABBREV,618,NS
