articleId,articleCode,articleName,articleRoomId,articleNameFr,cube,wgtlbs,domestic,canada,canadianGovt,maX3,maX4,grr,xGuaranteedPrice,international,local,tariff400N,auto,carton,pbo,mattcp,bulky,bulkyWgtAdd,isActive,canBulky,canBulkyWgtAdd,canWgtlbs,canArticleId,totalRooms,crateFlag,articleCreatorUserId,roomCreatorUserId,articleIsFavorite,additive,stsCode,tarriff104G,uasFlg,isCustomArticleForUser,roomEng,roomFr,id,roomId,roomName,weightLbs
"927","V066","Chair, Boudoir","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"928","V067","Chair, Child's","71","","3","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"929","V068","Chair, Dining","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"930","V069","Chair, Folding","71","","1","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"931","V070","Chair, High","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"932","V071","Chair, Kitchenette","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"933","V072","Chair, Lounge","71","","25","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"934","V073","Chair, Metal","71","","3","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"935","V074","Chair, Occasional","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"936","V076","Chair, Overstuffed","71","","25","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"937","V077","Chair, Plastic","71","","1","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"938","V078","Chair, Rocker","71","","12","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"939","V079","Chair, Straight","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"940","V081","Chair, Wood","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"941","V082","Chair/Card Table Fold.","71","","1","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"942","V083","Chairs","71","","6","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"943","V084","Chaise, Aluminum","71","","3","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"944","V085","Chaise, Metal","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
